Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	parental_MOLM14_R3	Early_Gilteritinib_MOLM14_FLT3_R1	Late_Gilteritinib_MOLM14_FLT3_R1	Early_Gilteritinib_MOLM14_FLT3_R2	Late_Gilteritinib_MOLM14_FLT3_R2	parenta_MOLM14_R4	Early_Gilteritinib_MOLM14_FLT3_R3	Late_Gilteritinib_MOLM14_FLT3_R3	Early_Gilteritinib_MOLM14_FLT3_R4	Late_Gilteritinib_MOLM14_FLT3_R4	Pool02
sp|Q6P0Q8|MAST2_HUMAN	Q6P0Q8	MAST2_HUMAN	MAST2	1798	Homo sapiens	Microtubule-associated serine/threonine-protein kinase 2	1:Experimental evidence at protein level	1.61	0.9934	0.9990	2	1	1	9	2	2	228866574	9859486	228866574	N-term(229.1692)			8.478.978.008	8.591.461.699	11.597.127.539	8.093.496.016	9.634.301.621	7.128.710.479	10.070.891.484	10.683.166.562	8.933.425.410	10.477.399.609	13.184.542.949
sp|Q8NI17|IL31R_HUMAN	Q8NI17	IL31R_HUMAN	IL31RA	732	Homo sapiens	Interleukin-31 receptor subunit alpha	1:Experimental evidence at protein level	3.69	0.9933	0.9963	2	2	2	2	2	2	24862092	24862092	24862092	13K(229.1629), 14K(229.1629), 7K(229.1629), 8M(15.9949), N-term(229.1692)			124.860.596	96.247.314	139.590.020	162.963.535	121.273.164	158.766.143	69.687.461	147.482.559	84.763.535	117.996.260	326.449.902
sp|Q9NWM8|FKB14_HUMAN	Q9NWM8	FKB14_HUMAN	FKBP14	211	Homo sapiens	Peptidyl-prolyl cis-trans isomerase FKBP14	1:Experimental evidence at protein level	3.32	0.9932	0.9971	1	1	1	1	1	1	0	0	0	7K(229.1629), N-term(229.1692)			297.707.070	263.522.461	408.047.266	394.946.797	283.681.172	320.815.664	387.709.258	519.240.391	445.670.156	519.853.047	673.353.438
sp|O14521|DHSD_HUMAN	O14521	DHSD_HUMAN	SDHD	159	Homo sapiens	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial	1:Experimental evidence at protein level	5.03	0.9929	0.9975	1	1	1	1	1	1	5363103	5363103	5363103	7K(229.1629), N-term(229.1692)			172.448.184	253.993.652	253.964.980	247.178.438	165.399.961	205.832.305	355.179.258	266.895.762	229.623.789	451.033.281	499.313.945
sp|Q7L3S4|ZN771_HUMAN	Q7L3S4	ZN771_HUMAN	ZNF771	317	Homo sapiens	Zinc finger protein 771	1:Experimental evidence at protein level	2.52	0.9928	0.9988	1	1	1	2	2	2	3609128	3609128	3609128	N-term(229.1692)			621.973.633	591.118.340	645.558.496	575.869.043	635.494.414	605.114.590	662.266.699	750.113.359	720.544.414	750.535.254	1.004.162.109
sp|Q86VE0|MYPOP_HUMAN	Q86VE0	MYPOP_HUMAN	MYPOP	399	Homo sapiens	Myb-related transcription factor, partner of profilin	1:Experimental evidence at protein level	2.76	0.9928	0.9990	1	1	1	1	1	1	2550556	2550556	2550556	N-term(229.1692)			34.716.228	32.244.648	59.143.491	23.832.627	44.560.215	40.733.647	52.010.776	75.240.776	56.020.825	49.613.862	65.077.949
sp|Q969K4|ABTB1_HUMAN	Q969K4	ABTB1_HUMAN	ABTB1	478	Homo sapiens	Ankyrin repeat and BTB/POZ domain-containing protein 1	1:Experimental evidence at protein level	1.46	0.9928	0.9937	1	1	1	1	1	1	73754368	73754368	73754368	6C(57.0214), N-term(229.1692)			85.487.305	151.184.727	133.840.137	139.503.457	141.926.836	41.150.396	99.940.742	85.096.777	91.847.100	121.774.297	184.161.895
sp|Q96ST8|CEP89_HUMAN	Q96ST8	CEP89_HUMAN	CEP89	783	Homo sapiens	Centrosomal protein of 89 kDa	1:Experimental evidence at protein level	0.89	0.9926	0.9989	1	1	1	1	1	1	0	0	0	7K(229.1629), N-term(229.1692)			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sp|Q9HCJ3|RAVR2_HUMAN	Q9HCJ3	RAVR2_HUMAN	RAVER2	691	Homo sapiens	Ribonucleoprotein PTB-binding 2	1:Experimental evidence at protein level	3.33	0.9925	0.9990	1	1	1	2	2	2	1721448	1721448	1721448	23K(229.1629), N-term(229.1692)			52.948.228	27.567.443	67.519.629	43.255.323	94.301.067	64.170.825	50.663.762	41.002.252	63.103.835	69.970.862	58.307.745
sp|Q7Z2K8|GRIN1_HUMAN	Q7Z2K8	GRIN1_HUMAN	GPRIN1	1008	Homo sapiens	G protein-regulated inducer of neurite outgrowth 1	1:Experimental evidence at protein level	1.79	0.9924	0.9990	1	1	1	1	1	1	2589855	2589855	2589855	13C(57.0214), N-term(229.1692)			37.412.991	43.952.437	45.312.124	60.058.999	85.188.457	42.320.200	44.356.655	47.402.915	30.949.795	61.928.037	69.823.647
sp|Q9BRQ8|FSP1_HUMAN	Q9BRQ8	FSP1_HUMAN	AIFM2	373	Homo sapiens	Ferroptosis suppressor protein 1	1:Experimental evidence at protein level	4.29	0.9924	0.9990	2	2	2	2	2	2	13367936	13367936	13367936	N-term(229.1692)			601.544.336	553.948.633	524.845.215	570.928.691	492.578.809	582.950.605	552.255.586	448.749.766	530.087.891	540.718.125	828.119.648
sp|Q8N257|H2B3B_HUMAN	Q8N257	H2B3B_HUMAN	H2BC26	126	Homo sapiens	Histone H2B type 3-B	1:Experimental evidence at protein level	72.22	0.9923	0.9990	12	0	2	592	0	7	30530775552	0	30530775552	6K(229.1629), 7K(229.1629), N-term(229.1692)			583.422.248.889	581.356.192.240	595.170.760.973	658.004.231.118	653.028.772.604	471.289.950.043	636.243.431.005	564.903.037.721	667.061.401.228	720.645.491.063	860.719.197.982
sp|Q9Y5X0|SNX10_HUMAN	Q9Y5X0	SNX10_HUMAN	SNX10	201	Homo sapiens	Sorting nexin-10	1:Experimental evidence at protein level	4.48	0.9923	0.9990	1	1	1	1	1	1	8937603	8937603	8937603	9K(229.1629), N-term(229.1692)			295.751.660	157.390.664	211.392.324	181.069.434	260.094.414	236.002.188	183.124.824	177.135.215	169.240.137	243.087.441	202.320.625
sp|O43597|SPY2_HUMAN	O43597	SPY2_HUMAN	SPRY2	315	Homo sapiens	Protein sprouty homolog 2	1:Experimental evidence at protein level	6.03	0.9922	0.9990	2	2	2	2	2	2	1783364	1783364	1783364	N-term(229.1692)			92.324.487	68.756.809	129.621.992	104.135.493	183.320.684	64.706.121	76.289.302	100.221.387	86.541.118	143.728.110	103.317.393
sp|Q9Y5U8|MPC1_HUMAN	Q9Y5U8	MPC1_HUMAN	MPC1	109	Homo sapiens	Mitochondrial pyruvate carrier 1	1:Experimental evidence at protein level	6.42	0.9922	0.9983	1	1	1	1	1	1	24770424	24770424	24770424	7K(229.1629), N-term(42.0106)			776.720.078	649.310.117	504.893.867	629.874.180	633.659.180	324.235.156	679.026.719	494.187.383	885.513.281	1.242.626.328	1.029.323.281
sp|O94788|AL1A2_HUMAN	O94788	AL1A2_HUMAN	ALDH1A2	518	Homo sapiens	Retinal dehydrogenase 2	1:Experimental evidence at protein level	6.95	0.9919	0.9975	5	1	1	9	1	1	175963388	13160292	175963388	N-term(229.1692)			8.421.950.449	6.041.760.430	5.639.262.568	5.123.392.686	4.696.355.049	6.630.339.326	5.900.559.561	6.118.544.121	4.410.580.244	6.101.658.320	6.810.788.613
sp|P13637|AT1A3_HUMAN	P13637	AT1A3_HUMAN	ATP1A3	1013	Homo sapiens	Sodium/potassium-transporting ATPase subunit alpha-3	1:Experimental evidence at protein level	15.40	0.9918	0.9988	12	0	0	36	0	0	605383424	0	605383424				13.045.676.001	13.172.112.238	19.151.764.135	12.669.506.224	16.735.268.601	10.898.715.431	17.452.782.031	17.637.953.578	16.790.449.539	20.108.444.790	22.198.273.408
sp|Q6UXT9|ABH15_HUMAN	Q6UXT9	ABH15_HUMAN	ABHD15	468	Homo sapiens	Protein ABHD15	1:Experimental evidence at protein level	1.50	0.9917	0.9990	1	1	1	1	1	1	156875904	156875904	156875904	N-term(229.1692)			6.176.773.750	4.951.681.250	4.510.051.250	5.145.640.625	6.813.717.500	4.607.093.750	5.900.808.750	4.732.866.562	4.434.997.812	7.784.331.250	5.501.776.875
sp|Q9Y4G8|RPGF2_HUMAN	Q9Y4G8	RPGF2_HUMAN	RAPGEF2	1499	Homo sapiens	Rap guanine nucleotide exchange factor 2	1:Experimental evidence at protein level	3.14	0.9917	0.9980	5	0	0	7	0	0	75389711	0	75389711				3.976.735.332	3.364.796.416	4.530.132.773	3.628.778.369	5.509.137.061	3.343.815.332	3.581.263.594	3.576.417.090	3.644.503.018	5.818.282.168	5.350.244.824
sp|Q96I23|PREY_HUMAN	Q96I23	PREY_HUMAN	PYURF	114	Homo sapiens	Protein preY, mitochondrial	1:Experimental evidence at protein level	7.02	0.9916	0.9990	1	1	1	3	3	3	157472640	157472640	157472640	1K(229.1629), N-term(229.1692)			4.052.576.719	5.207.952.734	5.853.318.594	5.263.915.781	5.024.869.219	2.920.909.062	5.972.200.859	4.680.995.469	5.649.015.781	5.519.666.484	6.195.063.906
sp|Q6UXP7|F151B_HUMAN	Q6UXP7	F151B_HUMAN	FAM151B	276	Homo sapiens	Protein FAM151B	1:Experimental evidence at protein level	9.42	0.9913	0.9985	2	2	2	2	2	2	3342677	3342677	3342677	11K(229.1629), 15K(229.1629), 3C(57.0214), N-term(229.1692)			136.488.303	181.787.753	92.984.102	135.403.877	114.014.065	76.868.875	89.245.426	104.685.664	164.298.010	112.428.723	279.144.575
sp|Q9Y463|DYR1B_HUMAN	Q9Y463	DYR1B_HUMAN	DYRK1B	629	Homo sapiens	Dual specificity tyrosine-phosphorylation-regulated kinase 1B	1:Experimental evidence at protein level	5.88	0.9913	0.9925	4	1	1	8	1	1	56117335	11544830	56117335	N-term(229.1692)			2.452.251.221	2.168.594.062	2.678.245.269	2.276.703.442	2.798.733.047	2.213.541.880	2.411.798.511	3.210.379.238	2.929.165.859	3.029.893.491	3.920.221.543
sp|P05543|THBG_HUMAN	P05543	THBG_HUMAN	SERPINA7	415	Homo sapiens	Thyroxine-binding globulin	1:Experimental evidence at protein level	1.69	0.9909	0.9990	1	1	1	1	1	1	8789465	8789465	8789465	7K(229.1629), N-term(229.1692)			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sp|Q9NWL6|ASND1_HUMAN	Q9NWL6	ASND1_HUMAN	ASNSD1	643	Homo sapiens	Asparagine synthetase domain-containing protein 1	2:Experimental evidence at transcript level	1.71	0.9907	0.9990	1	1	1	1	1	1	0	0	0	11K(229.1629), N-term(229.1692)			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sp|Q9BUG6|ZSA5A_HUMAN	Q9BUG6	ZSA5A_HUMAN	ZSCAN5A	496	Homo sapiens	Zinc finger and SCAN domain-containing protein 5A	1:Experimental evidence at protein level	1.61	0.9905	0.9990	1	1	1	1	1	1	9002301	9002301	9002301	N-term(229.1692)			71.779.287	51.712.363	71.905.649	60.910.005	91.930.928	68.924.893	33.625.591	52.854.419	26.332.849	80.176.309	75.173.936
sp|Q9P2M4|TBC14_HUMAN	Q9P2M4	TBC14_HUMAN	TBC1D14	693	Homo sapiens	TBC1 domain family member 14	1:Experimental evidence at protein level	1.44	0.9903	0.9990	1	1	1	2	2	2	997301	997301	997301	10K(229.1629), N-term(229.1692)			98.838.213	60.124.819	80.772.502	62.261.703	68.810.464	93.265.693	70.434.252	85.393.628	60.178.925	87.847.698	126.351.934
sp|A8MU93|CQ100_HUMAN	A8MU93	CQ100_HUMAN	C17orf100	118	Homo sapiens	Uncharacterized protein C17orf100	4:Protein predicted	5.93	0.9898	0.9969	1	1	1	2	2	2	601320	601320	601320	N-term(229.1692)			146.538.315	172.738.535	239.693.857	182.133.296	222.979.336	179.916.182	191.526.582	253.136.992	243.364.219	271.304.912	349.837.715
sp|Q6PI26|SHQ1_HUMAN	Q6PI26	SHQ1_HUMAN	SHQ1	577	Homo sapiens	Protein SHQ1 homolog	1:Experimental evidence at protein level	2.77	0.9898	0.9990	2	2	2	2	2	2	9819510	9819510	9819510	9K(229.1629), N-term(229.1692)			585.055.986	232.833.130	261.236.973	250.171.294	374.388.994	563.239.570	225.941.631	289.802.778	239.652.773	326.712.280	345.040.537
sp|Q9P2G1|AKIB1_HUMAN	Q9P2G1	AKIB1_HUMAN	ANKIB1	1089	Homo sapiens	Ankyrin repeat and IBR domain-containing protein 1	1:Experimental evidence at protein level	2.02	0.9896	0.9990	1	1	1	1	1	1	9031085	9031085	9031085	N-term(229.1692)			65.931.626	63.454.014	70.017.109	107.226.328	123.432.969	53.540.669	54.345.400	57.859.302	90.644.766	113.797.227	171.254.746
sp|Q53S08|RAB6D_HUMAN	Q53S08	RAB6D_HUMAN	RAB6D	254	Homo sapiens	Ras-related protein Rab-6D	2:Experimental evidence at transcript level	17.72	0.9895	0.9990	5	0	1	6	0	1	180970751	0	180970751	22K(229.1629)			4.888.899.795	3.576.378.267	5.705.082.656	5.041.087.446	7.543.497.173	3.334.097.427	4.821.975.684	4.878.321.411	5.259.854.414	8.273.149.619	7.304.327.881
sp|P09917|LOX5_HUMAN	P09917	LOX5_HUMAN	ALOX5	674	Homo sapiens	Polyunsaturated fatty acid 5-lipoxygenase	1:Experimental evidence at protein level	2.23	0.9893	0.9990	1	1	1	1	1	1	4620325	4620325	4620325	N-term(229.1692)			164.962.930	207.960.430	162.542.012	210.855.430	147.704.756	212.323.203	243.603.477	279.815.938	109.068.145	160.490.244	244.641.758
sp|Q3SY84|K2C71_HUMAN	Q3SY84	K2C71_HUMAN	KRT71	523	Homo sapiens	Keratin, type II cytoskeletal 71	1:Experimental evidence at protein level	7.65	0.9893	0.9986	4	1	2	5	1	3	247416774	6175010	247416774	12K(229.1629), 13K(229.1629), 5M(15.9949), N-term(229.1692)			3.238.853.564	3.137.185.137	4.804.933.779	4.699.395.664	4.409.139.277	2.894.761.284	3.822.804.580	3.140.407.334	4.064.780.723	6.526.134.297	4.805.244.102
sp|Q96HQ0|ZN419_HUMAN	Q96HQ0	ZN419_HUMAN	ZNF419	510	Homo sapiens	Zinc finger protein 419	1:Experimental evidence at protein level	6.86	0.9892	0.9990	4	0	0	8	0	0	68872440	0	68872440				6.396.183.691	4.978.377.627	7.417.575.615	5.612.355.518	7.404.638.027	5.666.510.049	6.684.830.488	6.441.520.586	6.698.526.562	7.523.682.402	8.892.718.750
sp|P20592|MX2_HUMAN	P20592	MX2_HUMAN	MX2	715	Homo sapiens	Interferon-induced GTP-binding protein Mx2	1:Experimental evidence at protein level	1.12	0.9889	0.9962	1	1	1	1	1	1	556983	556983	556983				8.400.474	15.208.459	10.267.600	13.764.066	0.0000	0.0000	20.633.220	11.728.584	20.371.896	0.0000	21.307.690
sp|Q7L211|ABHDD_HUMAN	Q7L211	ABHDD_HUMAN	ABHD13	337	Homo sapiens	Protein ABHD13	2:Experimental evidence at transcript level	7.72	0.9889	0.9990	2	2	2	5	5	5	75011436	75011436	75011436	9K(229.1629), N-term(229.1692)			822.547.227	944.702.793	1.116.996.875	1.104.746.406	1.277.227.344	747.344.219	1.067.899.707	1.233.622.070	1.138.185.879	1.494.100.762	1.815.830.547
sp|Q5JWR5|DOP1_HUMAN	Q5JWR5	DOP1_HUMAN	DOP1A	2465	Homo sapiens	Protein dopey-1	2:Experimental evidence at transcript level	0.69	0.9883	0.9990	2	1	1	2	1	1	193717948	189220320	193717948	7K(229.1629), N-term(229.1692)			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sp|P40424|PBX1_HUMAN	P40424	PBX1_HUMAN	PBX1	430	Homo sapiens	Pre-B-cell leukemia transcription factor 1	1:Experimental evidence at protein level	18.37	0.9881	0.9972	6	0	0	16	0	0	107066348	0	107066348				7.863.010.151	7.963.778.992	14.357.694.722	7.289.759.153	9.684.748.599	8.778.873.730	10.474.484.958	13.491.852.134	10.307.591.169	12.354.329.204	16.101.774.849
sp|Q969L4|LSM10_HUMAN	Q969L4	LSM10_HUMAN	LSM10	123	Homo sapiens	U7 snRNA-associated Sm-like protein LSm10	1:Experimental evidence at protein level	13.01	0.9881	0.9990	2	1	2	2	1	2	2063040	2063040	2063040	7K(229.1629), N-term(229.1692), N-term(42.0106)			409.183.164	335.725.938	501.627.051	351.914.941	394.385.332	343.398.232	402.005.977	450.158.633	370.781.348	498.303.555	742.983.828
sp|O75526|RMXL2_HUMAN	O75526	RMXL2_HUMAN	RBMXL2	392	Homo sapiens	RNA-binding motif protein, X-linked-like-2	1:Experimental evidence at protein level	12.76	0.9879	0.9971	5	1	1	27	3	3	2454031888	9388057	2454031888	13K(229.1629), N-term(229.1692)			72.259.908.960	47.250.738.608	52.336.896.917	46.752.950.718	68.081.699.546	53.464.017.371	50.390.726.494	48.549.552.236	44.242.506.067	61.989.633.970	74.261.998.135
sp|Q96PD7|DGAT2_HUMAN	Q96PD7	DGAT2_HUMAN	DGAT2	388	Homo sapiens	Diacylglycerol O-acyltransferase 2	1:Experimental evidence at protein level	3.61	0.9879	0.9989	1	1	1	2	2	2	27993555	27993555	27993555	N-term(229.1692)			584.785.469	557.381.953	466.110.938	565.112.539	331.491.328	399.095.430	750.609.922	526.760.938	934.803.359	854.997.422	1.047.741.406
sp|Q8N141|ZFP82_HUMAN	Q8N141	ZFP82_HUMAN	ZFP82	532	Homo sapiens	Zinc finger protein 82 homolog	1:Experimental evidence at protein level	1.88	0.9878	0.9990	1	1	1	1	1	1	0	0	0	N-term(229.1692)			87.565.010	96.044.795	200.329.570	109.605.547	115.096.611	121.765.078	141.934.688	195.871.504	176.030.938	149.907.646	264.096.602
sp|Q9UH36|SRR1L_HUMAN	Q9UH36	SRR1L_HUMAN	SRRD	339	Homo sapiens	SRR1-like protein	2:Experimental evidence at transcript level	5.31	0.9878	0.9990	1	1	1	3	3	3	11184071	11184071	11184071	18K(229.1629), N-term(42.0106)			51.029.761	54.076.211	57.905.566	47.413.745	59.213.140	64.598.921	39.885.784	40.544.885	38.863.323	48.123.872	70.764.053
sp|Q9UQ49|NEUR3_HUMAN	Q9UQ49	NEUR3_HUMAN	NEU3	428	Homo sapiens	Sialidase-3	1:Experimental evidence at protein level	6.54	0.9878	0.9990	2	2	2	2	2	2	14198030	14198030	14198030	10C(57.0214), N-term(229.1692)			75.881.099	57.571.787	69.626.167	43.875.664	94.699.043	60.542.676	61.970.747	94.871.943	87.423.779	112.456.875	103.636.611
sp|Q8WUD6|CHPT1_HUMAN	Q8WUD6	CHPT1_HUMAN	CHPT1	406	Homo sapiens	Cholinephosphotransferase 1	1:Experimental evidence at protein level	4.68	0.9874	0.9990	2	1	1	4	2	2	10102955	0	10102955	N-term(229.1692), N-term(42.0106)			1.691.108.091	1.100.843.066	1.929.662.988	1.599.804.629	2.156.231.938	1.100.582.637	1.515.388.730	1.371.387.441	1.436.716.426	2.263.280.195	2.905.295.781
sp|P51957|NEK4_HUMAN	P51957	NEK4_HUMAN	NEK4	841	Homo sapiens	Serine/threonine-protein kinase Nek4	1:Experimental evidence at protein level	1.31	0.9873	0.9990	1	1	1	3	3	3	0	0	0	11K(229.1629), N-term(229.1692)			578.392.686	707.515.254	859.152.207	744.004.688	781.526.406	723.302.715	920.872.949	970.719.746	1.028.443.887	650.853.135	1.015.785.625
sp|Q8TD22|SFXN5_HUMAN	Q8TD22	SFXN5_HUMAN	SFXN5	340	Homo sapiens	Sideroflexin-5	1:Experimental evidence at protein level	10.00	0.9869	0.9990	1	1	1	1	1	1	11999407	11999407	11999407	34K(229.1629), N-term(229.1692)			59.361.040	0.0000	77.605.869	33.345.098	57.620.034	67.336.812	76.884.785	56.511.768	54.515.752	48.060.981	72.202.803
sp|P08263|GSTA1_HUMAN	P08263	GSTA1_HUMAN	GSTA1	222	Homo sapiens	Glutathione S-transferase A1	1:Experimental evidence at protein level	11.26	0.9867	0.9990	3	0	2	4	0	3	66495919	0	66495919	11K(229.1629), 1K(229.1629), 7K(229.1629), N-term(229.1692)		sp|P09210|GSTA2_HUMAN	737.231.465	2.008.464.922	3.021.560.820	2.284.785.898	1.428.929.160	1.999.512.607	3.005.257.305	3.312.008.008	3.945.318.203	2.051.561.055	3.145.140.430
sp|Q8TF61|FBX41_HUMAN	Q8TF61	FBX41_HUMAN	FBXO41	875	Homo sapiens	F-box only protein 41	2:Experimental evidence at transcript level	1.03	0.9867	0.9990	1	1	1	1	1	1	12801303	12801303	12801303	9K(229.1629), N-term(229.1692)			862.864.375	1.212.491.484	1.587.192.500	1.774.561.719	1.727.166.406	1.089.072.109	1.492.055.938	1.307.267.578	944.772.969	1.597.782.656	2.512.494.688
sp|Q9P2C4|TM181_HUMAN	Q9P2C4	TM181_HUMAN	TMEM181	612	Homo sapiens	Transmembrane protein 181	1:Experimental evidence at protein level	2.61	0.9866	0.9989	1	1	1	1	1	1	157114368	157114368	157114368	16K(229.1629), N-term(229.1692)			782.645.625	859.394.141	1.838.847.188	879.789.766	963.039.297	891.261.797	1.656.743.281	1.782.258.438	1.552.115.625	1.878.639.062	1.901.682.969
sp|P14923|PLAK_HUMAN	P14923	PLAK_HUMAN	JUP	745	Homo sapiens	Junction plakoglobin	1:Experimental evidence at protein level	1.07	0.9862	0.9989	1	0	1	1	0	1	1429901	0	1429901	8K(229.1629), N-term(229.1692)			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sp|Q9NZ72|STMN3_HUMAN	Q9NZ72	STMN3_HUMAN	STMN3	180	Homo sapiens	Stathmin-3	1:Experimental evidence at protein level	10.00	0.9862	0.9976	3	2	2	4	3	3	186876108	121461932	186876108	N-term(229.1692)			3.442.022.012	1.712.353.340	2.034.516.631	1.325.749.209	1.719.064.307	2.913.004.961	1.787.703.799	2.399.667.148	1.353.007.559	1.909.946.699	3.096.506.445
sp|P60602|ROMO1_HUMAN	P60602	ROMO1_HUMAN	ROMO1	79	Homo sapiens	Reactive oxygen species modulator 1	1:Experimental evidence at protein level	31.65	0.9861	0.9990	2	2	2	3	3	3	38670759	38670759	38670759	14C(57.0214), 3M(15.9949), 8K(229.1629), N-term(229.1692)			583.886.582	615.372.754	470.287.109	475.298.105	768.573.086	205.654.614	528.165.117	339.166.689	498.435.371	564.445.488	827.566.289
sp|Q68CP4|HGNAT_HUMAN	Q68CP4	HGNAT_HUMAN	HGSNAT	663	Homo sapiens	Heparan-alpha-glucosaminide N-acetyltransferase	1:Experimental evidence at protein level	5.58	0.9861	0.9990	2	2	2	3	3	3	24424446	24424446	24424446	N-term(229.1692)			7.558.796.250	4.371.436.621	5.859.803.345	4.800.941.245	7.423.360.776	5.441.420.488	4.592.206.514	5.309.680.181	5.090.464.995	7.635.260.000	8.513.430.620
sp|Q7Z5W3|BN3D2_HUMAN	Q7Z5W3	BN3D2_HUMAN	BCDIN3D	292	Homo sapiens	RNA 5'-monophosphate methyltransferase	1:Experimental evidence at protein level	7.19	0.9860	0.9990	2	2	2	2	2	2	12109642	12109642	12109642	12K(229.1629), 3C(57.0214), 4C(57.0214), N-term(229.1692)			170.749.216	128.463.367	194.957.207	131.943.977	238.782.900	161.341.406	184.572.119	206.459.209	120.999.272	186.703.467	226.589.287
sp|P30613|KPYR_HUMAN	P30613	KPYR_HUMAN	PKLR	574	Homo sapiens	Pyruvate kinase PKLR	1:Experimental evidence at protein level	1.92	0.9857	0.9990	1	0	0	5	0	0	2390446112	0	2390446112				13.260.768.672	10.805.257.422	25.327.770.234	10.432.911.191	20.176.032.812	10.200.511.172	17.847.473.203	14.411.227.734	16.673.542.969	18.732.182.734	21.910.167.344
sp|P52738|ZN140_HUMAN	P52738	ZN140_HUMAN	ZNF140	457	Homo sapiens	Zinc finger protein 140	1:Experimental evidence at protein level	3.72	0.9854	0.9984	2	1	2	3	2	3	96591598	93135560	96591598	9K(229.1629), N-term(229.1692)			2.050.413.750	688.683.281	1.166.331.172	808.863.008	1.555.204.922	1.145.178.164	932.445.938	748.188.496	678.055.527	1.148.034.043	1.162.104.922
sp|A0PK00|T120B_HUMAN	A0PK00	T120B_HUMAN	TMEM120B	339	Homo sapiens	Transmembrane protein 120B	1:Experimental evidence at protein level	5.01	0.9846	0.9990	1	1	1	2	2	2	3732894	3732894	3732894	11C(57.0214), 17K(229.1629), N-term(229.1692)			212.024.653	176.500.625	311.901.396	202.548.623	248.314.854	137.018.599	265.764.395	279.102.051	191.659.712	304.125.010	375.359.248
sp|Q8NEB7|ACRBP_HUMAN	Q8NEB7	ACRBP_HUMAN	ACRBP	543	Homo sapiens	Acrosin-binding protein	2:Experimental evidence at transcript level	1.66	0.9846	0.9990	1	1	1	1	1	1	11490389	11490389	11490389	3C(57.0214), N-term(229.1692)			103.198.770	218.503.066	272.946.152	184.148.867	151.576.670	203.721.602	216.306.406	348.083.789	225.799.688	197.866.328	210.292.051
sp|Q8NEM0|MCPH1_HUMAN	Q8NEM0	MCPH1_HUMAN	MCPH1	835	Homo sapiens	Microcephalin	1:Experimental evidence at protein level	0.84	0.9844	0.9990	1	1	1	1	1	1	6437064	6437064	6437064	7K(229.1629), N-term(229.1692)			157.269.883	120.737.900	332.542.422	154.109.980	156.622.764	133.050.264	221.494.355	271.106.602	172.753.652	159.393.506	330.374.180
sp|Q8TDQ1|CLM1_HUMAN	Q8TDQ1	CLM1_HUMAN	CD300LF	290	Homo sapiens	CMRF35-like molecule 1	1:Experimental evidence at protein level	6.21	0.9843	0.9990	2	2	2	2	2	2	30352127	30352127	30352127	8K(229.1629), 9K(229.1629), N-term(229.1692)			488.604.766	396.097.891	583.830.000	506.221.484	758.872.812	361.933.750	456.532.227	423.908.438	426.594.805	941.413.438	1.011.975.938
sp|Q9BXS4|TMM59_HUMAN	Q9BXS4	TMM59_HUMAN	TMEM59	323	Homo sapiens	Transmembrane protein 59	1:Experimental evidence at protein level	4.02	0.9843	0.9990	1	1	1	1	1	1	0	0	0	N-term(229.1692)			149.429.521	210.729.219	201.315.840	204.108.438	188.232.188	79.431.646	216.653.281	321.129.395	191.004.688	248.697.012	363.693.750
sp|Q86YD1|PTOV1_HUMAN	Q86YD1	PTOV1_HUMAN	PTOV1	416	Homo sapiens	Prostate tumor-overexpressed gene 1 protein	1:Experimental evidence at protein level	8.41	0.9838	0.9990	2	1	1	2	1	1	2001613	708505	2001613	N-term(229.1692)			99.741.328	116.525.833	172.638.966	108.761.437	149.691.536	101.824.404	114.733.643	83.965.322	123.513.052	125.128.127	204.790.708
sp|Q9BXY8|BEX2_HUMAN	Q9BXY8	BEX2_HUMAN	BEX2	128	Homo sapiens	Protein BEX2	1:Experimental evidence at protein level	5.47	0.9838	0.9960	1	0	1	1	0	1	0	0	0			sp|Q9HBH7|BEX1_HUMAN	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
